topic_id,tag_id
Q6484284,Q10541491
Q5589293,Q19592272
Q2069741,Q98116669
Q3152824,Q117023459
Q6815100,Q17197366
Q3070109,Q868557
Q5589293,Q4307514
Q3056790,Q1975176
Q3070109,Q2300494
Q24746,Q28872924
Q1818761,Q108028209
Q5565881,Q1979154
Q5565881,Q3249551
Q1229245,Q151885
Q5176204,Q1269299
Q5341295,Q17197366
Q5466627,Q17197366
Q1328304,Q17197366
Q6015263,Q1269299
Q6017561,Q1269299
Q1956113,Q4897819
